soc_code,accountability_responsibility,creativity_originality,physical_manual,social_perceptiveness,tool_technology,writing_intensity,norm_writing_intensity,norm_social_perceptiveness,norm_physical_manual,norm_creativity_originality,norm_tool_technology,norm_accountability_responsibility
31-9091,3.17,2.8466666666666662,2.7181818181818183,3.7020000000000004,2.526666666666667,3.22,0.4689922480620155,0.8010335917312662,0.6195090439276486,0.40633074935400515,0.7131782945736435,0.3520671834625323
31-9092,3.75,2.9499999999999997,2.6,3.8480000000000003,2.56,3.9625000000000004,0.9554263565891473,0.8611111111111112,0.5607235142118863,0.4722222222222222,0.7564599483204134,0.7338501291989664
31-9093,3.925,2.453333333333333,3.098181818181818,3.17,2.2133333333333334,3.35,0.5322997416020672,0.5103359173126615,0.8049095607235142,0.1847545219638243,0.4082687338501292,0.8275193798449613
31-9094,3.07,1.7966666666666666,1.7445454545454546,3.002,2.4466666666666668,3.865,0.8979328165374677,0.4043927648578811,0.2648578811369509,0.00516795865633075,0.6227390180878553,0.29069767441860467
31-9095,3.455,2.33,2.4454545454545453,3.626,2.5433333333333334,2.95,0.33527131782945735,0.7674418604651163,0.49483204134366926,0.1285529715762274,0.727390180878553,0.5523255813953488
31-9096,3.8600000000000003,2.51,2.9427272727272724,3.5740000000000003,2.313333333333333,3.52,0.6434108527131783,0.7370801033591732,0.7235142118863049,0.2202842377260982,0.48578811369509045,0.7958656330749354
31-9097,4.24,2.61,2.73,3.904,2.5500000000000003,3.515,0.6395348837209303,0.8798449612403101,0.6214470284237726,0.2713178294573643,0.7403100775193798,0.9270025839793282
31-9099,3.3575,2.956666666666667,2.4231818181818183,3.56,2.21,3.43375,0.5813953488372093,0.7286821705426356,0.4870801033591731,0.47416020671834624,0.40568475452196384,0.4896640826873385
33-1011,3.84,2.966666666666667,2.5927272727272728,3.768,2.4,3.9425,0.9431524547803618,0.8339793281653747,0.5549095607235142,0.4844961240310077,0.5807493540051679,0.7784237726098191
33-1012,4.23,3.223333333333333,2.6972727272727273,4.186,2.36,4.04,0.9806201550387597,0.9715762273901809,0.6027131782945736,0.66343669250646,0.5406976744186046,0.9231266149870802
33-1021,4.535,3.483333333333333,3.208181818181818,4.196,2.3000000000000003,3.7800000000000002,0.8397932816537468,0.9728682170542635,0.8636950904392765,0.7984496124031008,0.46963824289405687,0.979328165374677
33-1091,3.97,3.0100000000000002,2.401818181818182,3.4840000000000004,2.34,3.5175,0.6421188630490956,0.6841085271317829,0.47997416020671835,0.5219638242894057,0.5200258397932817,0.8410852713178295
33-2011,4.23,2.9299999999999997,3.5045454545454544,3.9159999999999995,2.11,3.2199999999999998,0.46770025839793283,0.8837209302325582,0.9664082687338501,0.458656330749354,0.34108527131782945,0.9231266149870802
33-2021,3.7750000000000004,3.0933333333333337,2.432727272727273,4.042,2.48,3.8575,0.8927648578811369,0.9302325581395349,0.4909560723514212,0.5852713178294574,0.665374677002584,0.748062015503876
33-2022,4.33,3.016666666666667,2.8036363636363637,3.7299999999999995,2.27,3.3825,0.5490956072351422,0.8165374677002584,0.6576227390180879,0.524547803617571,0.44638242894056845,0.9476744186046512
