occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology,accountability_responsibility,substitution_score,defense_score,net_risk,net_risk_calibrated,net_risk_uncalibrated,net_risk_source,bottleneck_B,demand_elasticity_eps,m_comp,m_comp_raw
13-1021,0.5142118863049095,0.6291989664082688,0.2635658914728682,0.6188630490956072,0.458656330749354,0.8804909560723514,0.48643410852713176,0.5038759689922481,0.3255026845539805,0.3255026845539805,-0.01744186046511631,calibrated,0.1317829457364341,0.7,0.2,0.6077519379844961
13-1022,0.4056847545219638,0.4760981912144703,0.2868217054263566,0.5891472868217055,0.6472868217054264,0.7118863049095607,0.5264857881136951,0.4506890611541774,0.4038158665486174,0.4038158665486174,0.07579672695951767,calibrated,0.1434108527131783,0.7,0.2,0.5996124031007751
13-1023,0.9069767441860463,0.6537467700258398,0.0839793281653746,0.6162790697674418,0.7067183462532299,0.5109819121447028,0.8068475452196382,0.45133505598621876,0.7192045480126255,0.7192045480126255,0.35551248923341944,calibrated,0.0419896640826873,0.7,0.2,0.6706072351421188
13-1031,0.8191214470284238,0.7971576227390181,0.1395348837209302,0.3365633074935401,0.9127906976744186,0.6705426356589147,0.8659560723514212,0.4244186046511628,0.713939773702612,0.713939773702612,0.4415374677002584,calibrated,0.0697674418604651,0.7,0.2,0.6511627906976744
13-1032,0.8294573643410853,0.8036175710594315,0.3255813953488372,0.2777777777777778,0.6117571059431525,0.6421188630490956,0.7206072351421189,0.46899224806201545,0.2799937602884326,0.2799937602884326,0.25161498708010344,calibrated,0.1627906976744186,0.7,0.2,0.586046511627907
13-1041,0.9198966408268734,0.727390180878553,0.276485788113695,0.5478036175710594,0.7467700258397932,0.4780361757105943,0.8333333333333333,0.5172265288544359,0.4323225361911623,0.4323225361911623,0.3161068044788974,calibrated,0.1382428940568475,0.7,0.2,0.6032299741602067
13-1051,0.5645994832041343,0.3113695090439276,0.045219638242894,0.6130490956072352,0.7067183462532299,0.3074935400516795,0.6356589147286822,0.32321274763135227,0.8277983597410484,0.8277983597410484,0.3124461670973299,calibrated,0.022609819121447,0.7,0.2,0.6841731266149871
13-1071,0.9935400516795866,0.7403100775193798,0.1253229974160206,0.4618863049095607,0.8158914728682171,0.6382428940568475,0.9047157622739018,0.4425064599483204,0.6965905630470981,0.6965905630470981,0.46220930232558144,calibrated,0.0626614987080103,0.7,0.2,0.6561369509043927
13-1074,0.2771317829457364,0.1543927648578811,0.3436692506459948,0.0116279069767441,0.1434108527131783,0.4864341085271317,0.21027131782945735,0.1698966408268733,0.1163604024524289,0.1163604024524289,0.04037467700258404,calibrated,0.1718346253229974,0.7,0.2,0.5797157622739018
13-1075,0.6925064599483204,0.6253229974160207,0.0129198966408268,0.7758397932816538,0.3133074935400516,0.4799741602067183,0.502906976744186,0.4713608957795004,0.6403281758510111,0.6403281758510111,0.03154608096468564,calibrated,0.0064599483204134,0.7,0.2,0.6954780361757106
