season,week,rule_regime,n_active,observed_eliminated,observed_eliminated_name,observed_eliminated_partner,model_map_eliminated,model_elim_prob_observed,model_log_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_elim_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_elim_prob_observed,judges_only_map_eliminated,judges_only_map_matches_observed
11,8,percent,5,3,Kurt Warner,Anna Trebunskaya,1,0.21816854724830523,-1.522487362406327,2,False,-1.6094379124341003,0.2,0.2,-1.6005298076595817,0.2017895800037637,1,False
11,9,percent,4,0,Brandy,Maksim Chmerkoskiy,1,0.2759812782005279,-1.2874222481725053,2,False,-1.3862943611198906,0.25,0.25,-1.3863084128270475,0.24999648709789196,1,False
12,2,percent,11,5,Mike Catherwood,Lacey Schwimmer,5,0.09465893883671339,-2.357474964827663,1,True,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.3921253023477527,0.09143514989023047,5,True
12,3,percent,10,9,Wendy Williams,Tony Dovolani,9,0.10541607683417795,-2.249840122873075,1,True,-2.302585092994046,0.1,0.1,-2.2884323397789164,0.10142533775704113,9,True
12,4,percent,9,8,Sugar Ray Leonard,Anna Trebunskaya,3,0.11644135892235329,-2.15036748959266,2,False,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.192893383559635,0.11159339855029728,3,False
12,5,percent,8,5,Petra Nemcova,Dmitry Chaplin,3,0.13188232132556144,-2.025845259132171,1,False,-2.0794415416798357,0.125,0.125,-2.073958234427426,0.12568729601209808,3,False
12,6,percent,7,1,Chris Jericho,Cheryl Burke,1,0.15242747562502307,-1.8810663657257725,1,True,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.936146667228328,0.14425875715904277,1,True
12,7,percent,6,2,Kendra Wilkinson,Louis van Amstel,3,0.1783058261498594,-1.7242550785399995,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.7894604855245388,0.16705027139881026,3,False
12,8,percent,5,4,Romeo,Chelsie Hightower,3,0.13468263912938203,-2.0048340893259966,5,False,-1.6094379124341003,0.2,0.2,-1.6094545569773986,0.1999966711190443,3,False
12,9,percent,4,3,Ralph Macchio,Karina Smirnoff,3,0.2812105275929276,-1.2686516816492333,1,True,-1.3862943611198906,0.25,0.25,-1.3647914554832608,0.25543393978147916,3,True
13,1,percent,12,8,Metta World Peace (Ron),Peta Murgatroyd,8,0.0868028517445469,-2.444115803655671,1,True,-2.4849066497880004,0.08333333333333333,0.08333333333333333,-2.4760060018425487,0.08407836470790346,8,True
13,2,percent,11,4,Elisabetta Canalis,Valentin Chmerkovskiy,1,0.09398059442987584,-2.364666960259628,5,False,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.3994485190051633,0.09076799631416232,1,False
13,3,percent,10,6,Kristin Cavallari,Mark Ballas,1,0.06466015213609094,-2.7386101538250918,10,False,-2.302585092994046,0.1,0.1,-2.3031973477128744,0.09993879326708463,1,False
13,4,percent,9,2,Chynna Phillips,Tony Dovolani,0,0.11654884204100951,-2.1494448488478,2,False,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.192205454453831,0.11167019330882182,0,False
13,5,percent,8,0,Carson Kressley,Anna Trebunskaya,0,0.13265762478679602,-2.019983719561855,1,True,-2.0794415416798357,0.125,0.125,-2.068120594276433,0.12642315897964093,0,True
13,6,percent,7,0,Chaz Bono,Lacey Schwimmer,0,0.15307780542511404,-1.8768089546580884,1,True,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.932508320807896,0.1447845764681217,0,True
13,7,percent,6,0,David Arquette,Kym Johnson,3,0.17833797455920755,-1.7240747955272495,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.7888055590401406,0.16715971287992562,3,False
13,8,percent,5,2,Nancy Grace,Tristan MacManus,2,0.21945403986594522,-1.5166124539676906,1,True,-1.6094379124341003,0.2,0.2,-1.5952103240100923,0.2028658564547829,2,True
13,9,percent,4,0,Hope Solo,Maksim Chmerkoskiy,0,0.2813934321858164,-1.2680014743545507,1,True,-1.3862943611198906,0.25,0.25,-1.3659044941058573,0.2551497901050976,0,True
14,2,percent,12,7,Martina Navratilova,Tony Dovolani,7,0.0868453854125922,-2.443625920549545,1,True,-2.4849066497880004,0.08333333333333333,0.08333333333333333,-2.4753768801077083,0.08413127687692362,7,True
14,3,percent,11,3,Jack Wagner,Anna Trebunskaya,1,0.09437314389906498,-2.3604987389010277,1,False,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.3954379195192725,0.0911327613678494,1,False
14,4,percent,10,8,Sherri Sheperd,Valentin Chmerkovskiy,2,0.10438577764604508,-2.259661842257685,2,False,-2.302585092994046,0.1,0.1,-2.2979178611078375,0.10046781403771643,2,False
14,5,percent,9,1,Gavin DeGraw,Karina Smirnoff,1,0.11741297449366417,-2.1420578624162747,1,True,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.184792551435068,0.11250106941912473,1,True
14,6,percent,8,1,Gladys Knight,Tristan MacManus,1,0.1332382323152281,-2.0156165326672997,1,True,-2.0794415416798357,0.125,0.125,-2.064327452393624,0.12690361059343475,1,True
